+-----------------+-----------------+---------+-----------+
|      Src IP     |     Src Port    | Dest IP | Dest Port |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
| 192.168.252.128 |  52.84.108.210  |  40000  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.210  |  39985  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.210  |  40001  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.210  |  40002  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.210  |  40003  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
| 192.168.252.128 |  52.84.108.225  |  45016  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
| 192.168.252.128 |  52.84.108.225  |  45015  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45015   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45012   |
| 192.168.252.128 |  52.84.108.225  |  45012  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
| 192.168.252.128 |  52.84.108.225  |  45011  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
| 192.168.252.128 |  52.84.108.225  |  45014  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45014   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45013   |
| 192.168.252.128 |  52.84.108.225  |  45013  |     80    |
|  52.84.108.225  | 192.168.252.128 |    80   |   45016   |
|  52.84.108.225  | 192.168.252.128 |    80   |   45011   |
